pipeline,device,dim,input,n_runs,time_freeze,time_grid_pts,time_backward,time_resample,time_intensity,time_total
crop+affine+minmax,cpu,2,image,5,0.002378,0.004813,0.004691,0.004178,0.0,0.016061
crop+affine+minmax,cpu,2,image-labels,5,0.002215,0.004158,0.00409,0.021094,0.0,0.031557
crop+affine+minmax,cpu,2,image-labels-points,5,0.001922,0.001638,0.005206,0.019978,0.0,0.028744
crop+affine+elastic+minmax,cpu,2,image,5,0.002712,0.00166,0.025734,0.004445,0.0,0.034551
crop+affine+elastic+minmax,cpu,2,image-labels,5,0.003153,0.001764,0.025575,0.020698,0.0,0.05119
crop+affine+elastic+minmax,cpu,2,image-labels-points,5,0.002422,0.001646,0.217829,0.02226,0.0,0.244157
crop+affine+minmax,cpu,3,image,5,0.002484,0.220838,0.09326,2.118615,0.0,2.435196
crop+affine+minmax,cpu,3,image-labels,5,0.002552,0.350313,0.842007,6.784155,0.0,7.979027
crop+affine+minmax,cpu,3,image-labels-points,5,0.0021,0.356649,0.743128,6.633517,0.0,7.735395
crop+affine+elastic+minmax,cpu,3,image,5,0.002977,0.268442,17.63495,2.399643,0.0,20.306011
crop+affine+elastic+minmax,cpu,3,image-labels,5,0.00272,0.371187,10.959087,7.983186,0.0,19.316181
crop+affine+elastic+minmax,cpu,3,image-labels-points,5,0.00353,0.428364,18.991094,10.400509,0.0,29.823496
crop+affine+minmax,cuda,2,image,5,0.001991,0.0645,0.138249,0.081553,0.0,0.286293
crop+affine+minmax,cuda,2,image-labels,5,0.002458,0.00274,0.008552,0.004972,0.0,0.018722
crop+affine+minmax,cuda,2,image-labels-points,5,0.002143,0.002831,0.042489,0.002697,0.0,0.050161
crop+affine+elastic+minmax,cuda,2,image,5,0.003027,0.003042,0.070609,0.0014,0.0,0.078079
crop+affine+elastic+minmax,cuda,2,image-labels,5,0.004857,0.010305,0.018484,0.003211,0.0,0.036857
crop+affine+elastic+minmax,cuda,2,image-labels-points,5,0.003736,0.00642,0.125325,0.003152,0.0,0.138633
crop+affine+minmax,cuda,3,image,5,0.002945,0.318286,0.027767,0.018698,0.0,0.367696
crop+affine+minmax,cuda,3,image-labels,5,0.002473,0.215673,0.032043,0.084387,0.0,0.334576
crop+affine+minmax,cuda,3,image-labels-points,5,0.00341,0.226881,0.04127,0.083236,0.0,0.354798
crop+affine+elastic+minmax,cuda,3,image,5,0.003968,0.251237,0.353838,0.006698,0.0,0.615741
crop+affine+elastic+minmax,cuda,3,image-labels,5,0.003639,0.254678,0.298111,0.068149,0.0,0.624576
crop+affine+elastic+minmax,cuda,3,image-labels-points,5,0.004261,0.249959,0.452547,0.137127,0.0,0.843894
