//////////////////////////////////////////////////////////////////////
crop+affine+minmax / image / 2D / cpu
//////////////////////////////////////////////////////////////////////

         5292 function calls (5287 primitive calls) in 0.061 seconds

   Ordered by: cumulative time
   List reduced from 119 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.284    0.284 D:\Brett\code\AugMed\scripts\performance\profile.py:393(run)
        5    0.000    0.000    0.283    0.057 D:\Brett\code\AugMed\augmed\transforms\transform.py:248(transform)
    20/15    0.000    0.000    0.272    0.018 D:\Brett\code\AugMed\augmed\utils\args.py:17(wrapper)
        5    0.000    0.000    0.265    0.053 D:\Brett\code\AugMed\augmed\transforms\transform.py:95(transform)
        5    0.001    0.000    0.264    0.053 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:191(transform_images)
        5    0.001    0.000    0.121    0.024 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:40(__backward_transform_points_for_group)
       10    0.009    0.001    0.120    0.012 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
        5    0.074    0.015    0.108    0.022 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:61(backward_transform_points)
       10    0.000    0.000    0.073    0.007 D:\Brett\.env\medical-imaging\lib\site-packages\torch\nn\functional.py:4754(grid_sample)
       10    0.072    0.007    0.072    0.007 {built-in method torch.grid_sampler}
       25    0.026    0.001    0.026    0.001 {method 'type' of 'torch._C.TensorBase' objects}
        5    0.000    0.000    0.018    0.004 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:420(freeze)
        5    0.000    0.000    0.018    0.004 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:421(<listcomp>)
       35    0.014    0.000    0.014    0.000 {method 'min' of 'torch._C.TensorBase' objects}
       40    0.012    0.000    0.012    0.000 {built-in method torch.stack}
        5    0.002    0.000    0.011    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:201(control_grid)
        5    0.002    0.000    0.010    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:326(freeze)
        5    0.007    0.001    0.010    0.002 D:\Brett\code\AugMed\augmed\utils\grid.py:91(grid_points)
       10    0.000    0.000    0.009    0.001 D:\Brett\.env\medical-imaging\lib\site-packages\torch\functional.py:210(einsum)
       10    0.009    0.001    0.009    0.001 {built-in method torch.einsum}
      440    0.002    0.000    0.009    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:79(to_tensor)
       15    0.000    0.000    0.009    0.001 D:\Brett\code\AugMed\augmed\transforms\transform.py:217(freeze)
        5    0.000    0.000    0.008    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:111(get_affine_backward_transform)
        5    0.000    0.000    0.007    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:15(__init__)
      270    0.006    0.000    0.006    0.000 {built-in method torch.tensor}
       10    0.004    0.000    0.006    0.001 D:\Brett\code\AugMed\augmed\transforms\intensity\min_max.py:33(transform_intensity)
        5    0.000    0.000    0.005    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:91(__create_transforms)
        5    0.000    0.000    0.005    0.001 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:172(__resolve_affine_chain)
        5    0.000    0.000    0.005    0.001 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:123(__get_transform_groups_grid_params)
        5    0.001    0.000    0.004    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:62(transform_grid)
       10    0.001    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\geometry.py:100(fov_centre)
        5    0.002    0.000    0.004    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:226(freeze)
       15    0.001    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\geometry.py:75(fov)
        5    0.001    0.000    0.004    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:453(freeze)
       30    0.001    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:135(create_translation)
       50    0.002    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:29(affine_spacing)
        5    0.003    0.001    0.003    0.001 {built-in method torch.hstack}
       15    0.003    0.000    0.003    0.000 {method 'max' of 'torch._C.TensorBase' objects}
      105    0.001    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:8(to_numpy)
       35    0.001    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:11(affine_origin)



--- Top by total time ---
         6937 function calls (6932 primitive calls) in 0.284 seconds

   Ordered by: internal time
   List reduced from 141 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.074    0.015    0.108    0.022 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:61(backward_transform_points)
       10    0.072    0.007    0.072    0.007 {built-in method torch.grid_sampler}
       25    0.026    0.001    0.026    0.001 {method 'type' of 'torch._C.TensorBase' objects}
       35    0.014    0.000    0.014    0.000 {method 'min' of 'torch._C.TensorBase' objects}
       40    0.012    0.000    0.012    0.000 {built-in method torch.stack}
       10    0.009    0.001    0.009    0.001 {built-in method torch.einsum}
       10    0.009    0.001    0.120    0.012 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
        5    0.007    0.001    0.010    0.002 D:\Brett\code\AugMed\augmed\utils\grid.py:91(grid_points)
      270    0.006    0.000    0.006    0.000 {built-in method torch.tensor}
       10    0.004    0.000    0.006    0.001 D:\Brett\code\AugMed\augmed\transforms\intensity\min_max.py:33(transform_intensity)
        5    0.003    0.001    0.003    0.001 {built-in method torch.hstack}
       15    0.003    0.000    0.003    0.000 {method 'max' of 'torch._C.TensorBase' objects}
        5    0.002    0.000    0.011    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:201(control_grid)
      440    0.002    0.000    0.009    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:79(to_tensor)
        5    0.002    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:241(__control_grid_draws)
        5    0.002    0.000    0.010    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:326(freeze)
       50    0.002    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:29(affine_spacing)
        5    0.002    0.000    0.004    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:226(freeze)
       95    0.001    0.000    0.001    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
       10    0.001    0.000    0.001    0.000 {built-in method torch._C._linalg.linalg_multi_dot}




//////////////////////////////////////////////////////////////////////
crop+affine+elastic+minmax / image-labels-points / 2D / cpu
//////////////////////////////////////////////////////////////////////

         12617 function calls (12588 primitive calls) in 2.514 seconds

   Ordered by: cumulative time
   List reduced from 171 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.514    2.514 D:\Brett\code\AugMed\scripts\performance\profile.py:393(run)
        5    0.000    0.000    2.514    0.503 D:\Brett\code\AugMed\augmed\transforms\transform.py:248(transform)
    20/15    0.000    0.000    2.504    0.167 D:\Brett\code\AugMed\augmed\utils\args.py:17(wrapper)
        5    0.000    0.000    2.497    0.499 D:\Brett\code\AugMed\augmed\transforms\transform.py:95(transform)
        5    0.001    0.000    2.359    0.472 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:191(transform_images)
        5    0.001    0.000    1.367    0.273 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:40(__backward_transform_points_for_group)
       22    0.861    0.039    1.312    0.060 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:61(backward_transform_points)
       10    0.319    0.032    0.614    0.061 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
       10    0.196    0.020    0.286    0.029 D:\Brett\code\AugMed\augmed\transforms\intensity\min_max.py:33(transform_intensity)
       52    0.234    0.004    0.234    0.004 {method 'min' of 'torch._C.TensorBase' objects}
      140    0.175    0.001    0.175    0.001 {built-in method torch.stack}
        5    0.002    0.000    0.138    0.028 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:288(transform_points)
       10    0.001    0.000    0.137    0.014 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:172(__resolve_affine_chain)
       22    0.009    0.000    0.136    0.006 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:201(control_grid)
        5    0.003    0.001    0.123    0.025 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:334(transform_points)
       44    0.001    0.000    0.104    0.002 D:\Brett\.env\medical-imaging\lib\site-packages\torch\functional.py:210(einsum)
       44    0.103    0.002    0.103    0.002 {built-in method torch.einsum}
       10    0.000    0.000    0.096    0.010 D:\Brett\.env\medical-imaging\lib\site-packages\torch\nn\functional.py:4754(grid_sample)
       10    0.095    0.010    0.095    0.010 {built-in method torch.grid_sampler}
       32    0.093    0.003    0.093    0.003 {method 'max' of 'torch._C.TensorBase' objects}
        5    0.055    0.011    0.085    0.017 D:\Brett\code\AugMed\augmed\utils\grid.py:91(grid_points)
       57    0.084    0.001    0.084    0.001 {method 'type' of 'torch._C.TensorBase' objects}
       10    0.081    0.008    0.081    0.008 {built-in method torch.hstack}
       34    0.037    0.001    0.037    0.001 {built-in method torch.ones}
       27    0.000    0.000    0.028    0.001 D:\Brett\.env\medical-imaging\lib\site-packages\torch\_tensor.py:33(wrapped)
       22    0.000    0.000    0.028    0.001 D:\Brett\.env\medical-imaging\lib\site-packages\torch\_tensor.py:1026(__rsub__)
       22    0.027    0.001    0.027    0.001 {built-in method torch.rsub}
       24    0.001    0.000    0.023    0.001 D:\Brett\.env\medical-imaging\lib\site-packages\torch\autograd\__init__.py:358(grad)
       24    0.000    0.000    0.021    0.001 D:\Brett\.env\medical-imaging\lib\site-packages\torch\autograd\graph.py:816(_engine_run_backward)
       24    0.021    0.001    0.021    0.001 {method 'run_backward' of 'torch._C._EngineBase' objects}
       20    0.019    0.001    0.019    0.001 {built-in method torch._C._linalg.linalg_multi_dot}
        5    0.000    0.000    0.017    0.003 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:420(freeze)
        5    0.000    0.000    0.016    0.003 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:421(<listcomp>)
       22    0.016    0.001    0.016    0.001 {method 'floor' of 'torch._C.TensorBase' objects}
      740    0.003    0.000    0.013    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:79(to_tensor)
       22    0.007    0.000    0.009    0.000 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:241(__control_grid_draws)
      421    0.009    0.000    0.009    0.000 {built-in method torch.tensor}
        5    0.002    0.000    0.009    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:326(freeze)
       10    0.002    0.000    0.008    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:62(transform_grid)
       15    0.000    0.000    0.008    0.001 D:\Brett\code\AugMed\augmed\transforms\transform.py:217(freeze)



--- Top by total time ---
         12617 function calls (12588 primitive calls) in 2.514 seconds

   Ordered by: internal time
   List reduced from 171 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.861    0.039    1.312    0.060 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:61(backward_transform_points)
       10    0.319    0.032    0.614    0.061 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
       52    0.234    0.004    0.234    0.004 {method 'min' of 'torch._C.TensorBase' objects}
       10    0.196    0.020    0.286    0.029 D:\Brett\code\AugMed\augmed\transforms\intensity\min_max.py:33(transform_intensity)
      140    0.175    0.001    0.175    0.001 {built-in method torch.stack}
       44    0.103    0.002    0.103    0.002 {built-in method torch.einsum}
       10    0.095    0.010    0.095    0.010 {built-in method torch.grid_sampler}
       32    0.093    0.003    0.093    0.003 {method 'max' of 'torch._C.TensorBase' objects}
       57    0.084    0.001    0.084    0.001 {method 'type' of 'torch._C.TensorBase' objects}
       10    0.081    0.008    0.081    0.008 {built-in method torch.hstack}
        5    0.055    0.011    0.085    0.017 D:\Brett\code\AugMed\augmed\utils\grid.py:91(grid_points)
       34    0.037    0.001    0.037    0.001 {built-in method torch.ones}
       22    0.027    0.001    0.027    0.001 {built-in method torch.rsub}
       24    0.021    0.001    0.021    0.001 {method 'run_backward' of 'torch._C._EngineBase' objects}
       20    0.019    0.001    0.019    0.001 {built-in method torch._C._linalg.linalg_multi_dot}
       22    0.016    0.001    0.016    0.001 {method 'floor' of 'torch._C.TensorBase' objects}
      421    0.009    0.000    0.009    0.000 {built-in method torch.tensor}
       22    0.009    0.000    0.136    0.006 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:201(control_grid)
       22    0.007    0.000    0.009    0.000 D:\Brett\code\AugMed\augmed\transforms\spatial\elastic.py:241(__control_grid_draws)
       32    0.004    0.000    0.005    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:48(create_affine)




//////////////////////////////////////////////////////////////////////
crop+affine+minmax / image / 3D / cpu
//////////////////////////////////////////////////////////////////////

         5472 function calls (5467 primitive calls) in 29.042 seconds

   Ordered by: cumulative time
   List reduced from 119 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   29.042   29.042 D:\Brett\code\AugMed\scripts\performance\profile.py:393(run)
        5    0.000    0.000   29.041    5.808 D:\Brett\code\AugMed\augmed\transforms\transform.py:248(transform)
    20/15    0.000    0.000   29.033    1.936 D:\Brett\code\AugMed\augmed\utils\args.py:17(wrapper)
        5    0.000    0.000   29.023    5.805 D:\Brett\code\AugMed\augmed\transforms\transform.py:95(transform)
        5    0.001    0.000   29.022    5.804 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:191(transform_images)
        5    1.086    0.217   25.696    5.139 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
        5    0.000    0.000   24.521    4.904 D:\Brett\.env\medical-imaging\lib\site-packages\torch\nn\functional.py:4754(grid_sample)
        5   24.521    4.904   24.521    4.904 {built-in method torch.grid_sampler}
        5    1.292    0.258    1.800    0.360 D:\Brett\code\AugMed\augmed\utils\grid.py:91(grid_points)
        5    0.121    0.024    0.875    0.175 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:40(__backward_transform_points_for_group)
        5    0.093    0.019    0.746    0.149 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:172(__resolve_affine_chain)
        5    0.436    0.087    0.644    0.129 D:\Brett\code\AugMed\augmed\transforms\intensity\min_max.py:33(transform_intensity)
       20    0.506    0.025    0.506    0.025 {built-in method torch.stack}
        5    0.376    0.075    0.376    0.075 {built-in method torch.hstack}
       20    0.227    0.011    0.227    0.011 {built-in method torch._C._linalg.linalg_multi_dot}
       15    0.223    0.015    0.223    0.015 {method 'min' of 'torch._C.TensorBase' objects}
        5    0.071    0.014    0.071    0.014 {method 'max' of 'torch._C.TensorBase' objects}
        5    0.051    0.010    0.051    0.010 {built-in method torch.ones}
        5    0.000    0.000    0.018    0.004 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:420(freeze)
        5    0.000    0.000    0.018    0.004 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:421(<listcomp>)
        5    0.002    0.000    0.013    0.003 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:326(freeze)
       10    0.000    0.000    0.010    0.001 D:\Brett\code\AugMed\augmed\transforms\transform.py:217(freeze)
        5    0.000    0.000    0.009    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:15(__init__)
      350    0.002    0.000    0.008    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:79(to_tensor)
        5    0.000    0.000    0.008    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:91(__create_transforms)
        5    0.000    0.000    0.008    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:111(get_affine_backward_transform)
      235    0.006    0.000    0.006    0.000 {built-in method torch.tensor}
        5    0.002    0.000    0.005    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:226(freeze)
        5    0.000    0.000    0.005    0.001 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:123(__get_transform_groups_grid_params)
        5    0.001    0.000    0.005    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:62(transform_grid)
       10    0.002    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:77(create_rotation)
       10    0.000    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\geometry.py:100(fov_centre)
       15    0.001    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\geometry.py:75(fov)
       30    0.001    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:135(create_translation)
       40    0.002    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:29(affine_spacing)
       90    0.001    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:8(to_numpy)
       25    0.001    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:11(affine_origin)
       75    0.000    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\args.py:28(arg_to_list)
       10    0.001    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:119(create_scaling)
       40    0.000    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:111(to_tuple)



--- Top by total time ---
         5472 function calls (5467 primitive calls) in 29.042 seconds

   Ordered by: internal time
   List reduced from 119 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5   24.521    4.904   24.521    4.904 {built-in method torch.grid_sampler}
        5    1.292    0.258    1.800    0.360 D:\Brett\code\AugMed\augmed\utils\grid.py:91(grid_points)
        5    1.086    0.217   25.696    5.139 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
       20    0.506    0.025    0.506    0.025 {built-in method torch.stack}
        5    0.436    0.087    0.644    0.129 D:\Brett\code\AugMed\augmed\transforms\intensity\min_max.py:33(transform_intensity)
        5    0.376    0.075    0.376    0.075 {built-in method torch.hstack}
       20    0.227    0.011    0.227    0.011 {built-in method torch._C._linalg.linalg_multi_dot}
       15    0.223    0.015    0.223    0.015 {method 'min' of 'torch._C.TensorBase' objects}
        5    0.121    0.024    0.875    0.175 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:40(__backward_transform_points_for_group)
        5    0.093    0.019    0.746    0.149 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:172(__resolve_affine_chain)
        5    0.071    0.014    0.071    0.014 {method 'max' of 'torch._C.TensorBase' objects}
        5    0.051    0.010    0.051    0.010 {built-in method torch.ones}
      235    0.006    0.000    0.006    0.000 {built-in method torch.tensor}
        5    0.002    0.000    0.013    0.003 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:326(freeze)
        5    0.002    0.000    0.005    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:226(freeze)
       40    0.002    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:29(affine_spacing)
       10    0.002    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:77(create_rotation)
      350    0.002    0.000    0.008    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:79(to_tensor)
        5    0.001    0.000   29.022    5.804 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:191(transform_images)
       25    0.001    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:11(affine_origin)




//////////////////////////////////////////////////////////////////////
crop+affine+minmax / image-labels / 3D / cpu
//////////////////////////////////////////////////////////////////////

         5977 function calls (5972 primitive calls) in 74.812 seconds

   Ordered by: cumulative time
   List reduced from 119 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.209    0.209   74.812   74.812 D:\Brett\code\AugMed\scripts\performance\profile.py:393(run)
        5    0.000    0.000   74.603   14.921 D:\Brett\code\AugMed\augmed\transforms\transform.py:248(transform)
    20/15    0.532    0.027   74.593    4.973 D:\Brett\code\AugMed\augmed\utils\args.py:17(wrapper)
        5    0.000    0.000   74.580   14.916 D:\Brett\code\AugMed\augmed\transforms\transform.py:95(transform)
        5    0.656    0.131   74.047   14.809 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:191(transform_images)
       10    5.786    0.579   65.392    6.539 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
       10    0.000    0.000   55.637    5.564 D:\Brett\.env\medical-imaging\lib\site-packages\torch\nn\functional.py:4754(grid_sample)
       10   55.637    5.564   55.637    5.564 {built-in method torch.grid_sampler}
       10    4.552    0.455    5.052    0.505 D:\Brett\code\AugMed\augmed\transforms\intensity\min_max.py:33(transform_intensity)
       30    3.400    0.113    3.400    0.113 {method 'min' of 'torch._C.TensorBase' objects}
        5    1.770    0.354    2.239    0.448 D:\Brett\code\AugMed\augmed\utils\grid.py:91(grid_points)
       20    0.904    0.045    0.904    0.045 {method 'type' of 'torch._C.TensorBase' objects}
        5    0.248    0.050    0.699    0.140 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:40(__backward_transform_points_for_group)
       20    0.467    0.023    0.467    0.023 {built-in method torch.stack}
        5    0.083    0.017    0.444    0.089 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:172(__resolve_affine_chain)
        5    0.212    0.042    0.212    0.042 {built-in method torch.hstack}
       10    0.162    0.016    0.162    0.016 {method 'max' of 'torch._C.TensorBase' objects}
       20    0.128    0.006    0.128    0.006 {built-in method torch._C._linalg.linalg_multi_dot}
        5    0.000    0.000    0.023    0.005 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:420(freeze)
        5    0.000    0.000    0.022    0.004 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:421(<listcomp>)
        5    0.021    0.004    0.021    0.004 {built-in method torch.ones}
        5    0.002    0.000    0.016    0.003 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:326(freeze)
       10    0.000    0.000    0.013    0.001 D:\Brett\code\AugMed\augmed\transforms\transform.py:217(freeze)
        5    0.001    0.000    0.012    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:15(__init__)
        5    0.001    0.000    0.011    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:91(__create_transforms)
      400    0.002    0.000    0.009    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:79(to_tensor)
        5    0.000    0.000    0.007    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:111(get_affine_backward_transform)
      250    0.007    0.000    0.007    0.000 {built-in method torch.tensor}
        5    0.002    0.000    0.006    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:226(freeze)
        5    0.000    0.000    0.006    0.001 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:123(__get_transform_groups_grid_params)
        5    0.001    0.000    0.005    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:62(transform_grid)
      100    0.001    0.000    0.005    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:8(to_numpy)
       10    0.002    0.000    0.005    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:77(create_rotation)
       75    0.000    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\args.py:28(arg_to_list)
       10    0.001    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:119(create_scaling)
       10    0.000    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\geometry.py:100(fov_centre)
       15    0.001    0.000    0.004    0.000 D:\Brett\code\AugMed\augmed\utils\geometry.py:75(fov)
       50    0.000    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:37(to_list)
       30    0.001    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:135(create_translation)
       45    0.002    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:29(affine_spacing)



--- Top by total time ---
         5977 function calls (5972 primitive calls) in 74.812 seconds

   Ordered by: internal time
   List reduced from 119 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10   55.637    5.564   55.637    5.564 {built-in method torch.grid_sampler}
       10    5.786    0.579   65.392    6.539 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
       10    4.552    0.455    5.052    0.505 D:\Brett\code\AugMed\augmed\transforms\intensity\min_max.py:33(transform_intensity)
       30    3.400    0.113    3.400    0.113 {method 'min' of 'torch._C.TensorBase' objects}
        5    1.770    0.354    2.239    0.448 D:\Brett\code\AugMed\augmed\utils\grid.py:91(grid_points)
       20    0.904    0.045    0.904    0.045 {method 'type' of 'torch._C.TensorBase' objects}
        5    0.656    0.131   74.047   14.809 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:191(transform_images)
    20/15    0.532    0.027   74.593    4.973 D:\Brett\code\AugMed\augmed\utils\args.py:17(wrapper)
       20    0.467    0.023    0.467    0.023 {built-in method torch.stack}
        5    0.248    0.050    0.699    0.140 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:40(__backward_transform_points_for_group)
        5    0.212    0.042    0.212    0.042 {built-in method torch.hstack}
        1    0.209    0.209   74.812   74.812 D:\Brett\code\AugMed\scripts\performance\profile.py:393(run)
       10    0.162    0.016    0.162    0.016 {method 'max' of 'torch._C.TensorBase' objects}
       20    0.128    0.006    0.128    0.006 {built-in method torch._C._linalg.linalg_multi_dot}
        5    0.083    0.017    0.444    0.089 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:172(__resolve_affine_chain)
        5    0.021    0.004    0.021    0.004 {built-in method torch.ones}
      250    0.007    0.000    0.007    0.000 {built-in method torch.tensor}
       85    0.003    0.000    0.003    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
        5    0.002    0.000    0.006    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:226(freeze)
        5    0.002    0.000    0.016    0.003 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:326(freeze)




//////////////////////////////////////////////////////////////////////
crop+affine+minmax / image-labels-points / 3D / cpu
//////////////////////////////////////////////////////////////////////

         8037 function calls (8032 primitive calls) in 61.808 seconds

   Ordered by: cumulative time
   List reduced from 125 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.120    0.120   61.808   61.808 D:\Brett\code\AugMed\scripts\performance\profile.py:393(run)
        5    0.000    0.000   61.688   12.338 D:\Brett\code\AugMed\augmed\transforms\transform.py:248(transform)
    20/15    0.298    0.015   61.678    4.112 D:\Brett\code\AugMed\augmed\utils\args.py:17(wrapper)
        5    0.001    0.000   61.667   12.333 D:\Brett\code\AugMed\augmed\transforms\transform.py:95(transform)
        5    0.427    0.085   61.350   12.270 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:191(transform_images)
       10    3.254    0.325   54.313    5.431 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
       10    0.000    0.000   47.697    4.770 D:\Brett\.env\medical-imaging\lib\site-packages\torch\nn\functional.py:4754(grid_sample)
       10   47.697    4.770   47.697    4.770 {built-in method torch.grid_sampler}
       10    2.844    0.284    3.267    0.327 D:\Brett\code\AugMed\augmed\transforms\intensity\min_max.py:33(transform_intensity)
       30    3.170    0.106    3.170    0.106 {method 'min' of 'torch._C.TensorBase' objects}
        5    2.021    0.404    2.483    0.497 D:\Brett\code\AugMed\augmed\utils\grid.py:91(grid_points)
