pipeline,device,dim,input,n_runs,time_freeze,time_grid_pts,time_backward,time_resample,time_intensity,time_total
crop+affine+minmax,cpu,2,image,5,0.002476,0.004997,0.005358,0.004678,0.0,0.01751
crop+affine+minmax,cpu,2,image-labels,5,0.004504,0.017518,0.074728,0.085509,0.0,0.182258
crop+affine+minmax,cpu,2,image-labels-points,5,0.002929,0.027659,0.1191,0.178241,0.0,0.32793
crop+affine+elastic+minmax,cpu,2,image,5,0.003201,0.012579,0.036861,0.010746,0.0,0.063386
crop+affine+elastic+minmax,cpu,2,image-labels,5,0.00322,0.001825,0.025133,0.023931,0.0,0.054108
crop+affine+elastic+minmax,cpu,2,image-labels-points,5,0.003008,0.002002,0.24743,0.026784,0.0,0.279223
crop+affine+minmax,cpu,3,image,5,0.002644,0.249527,0.146688,3.343642,0.0,3.742501
crop+affine+minmax,cpu,3,image-labels,5,0.00259,0.398011,0.910071,9.07159,0.0,10.382262
crop+affine+minmax,cpu,3,image-labels-points,5,0.003248,0.524073,0.873518,11.099026,0.0,12.499865
crop+affine+elastic+minmax,cpu,3,image,5,0.004038,0.371068,21.157193,4.209938,0.0,25.742237
crop+affine+elastic+minmax,cpu,3,image-labels,5,0.003869,0.379875,12.355402,10.939808,0.0,23.678954
crop+affine+elastic+minmax,cpu,3,image-labels-points,5,0.00366,0.60674,19.744283,15.116016,0.0,35.470698
crop+affine+minmax,cuda,2,image,5,0.00207,0.066645,0.148489,0.048729,0.0,0.265933
crop+affine+minmax,cuda,2,image-labels,5,0.002527,0.002507,0.007549,0.009312,0.0,0.021895
crop+affine+minmax,cuda,2,image-labels-points,5,0.004489,0.007359,0.051174,0.002891,0.0,0.065912
crop+affine+elastic+minmax,cuda,2,image,5,0.003675,0.005648,0.057546,0.001496,0.0,0.068366
crop+affine+elastic+minmax,cuda,2,image-labels,5,0.003468,0.005721,0.015309,0.002948,0.0,0.027445
crop+affine+elastic+minmax,cuda,2,image-labels-points,5,0.003747,0.00952,0.122038,0.003785,0.0,0.13909
crop+affine+minmax,cuda,3,image,5,0.003581,0.330344,0.029389,0.01995,0.0,0.383265
crop+affine+minmax,cuda,3,image-labels,5,0.002585,0.217407,0.033044,0.084055,0.0,0.337091
crop+affine+minmax,cuda,3,image-labels-points,5,0.00252,0.224158,0.034566,0.07149,0.0,0.332734
crop+affine+elastic+minmax,cuda,3,image,5,0.004958,0.300853,0.39159,0.00749,0.0,0.70489
crop+affine+elastic+minmax,cuda,3,image-labels,5,0.005228,0.340161,0.30377,0.068824,0.0,0.717983
crop+affine+elastic+minmax,cuda,3,image-labels-points,5,0.003077,0.222232,0.368818,0.072122,0.0,0.666249
