pipeline,device,dim,input,n_runs,time_freeze,time_grid_pts,time_backward,time_resample,time_intensity,time_total
crop+affine+minmax,cpu,2,image,1,0.003301,0.001635,0.005113,0.001193,0.0,0.011242
crop+affine+minmax,cpu,2,image-labels,1,0.001625,0.000847,0.00226,0.001799,0.0,0.006532
crop+affine+minmax,cpu,2,image-labels-points,1,0.001644,0.000844,0.003926,0.001665,0.0,0.008078
crop+affine+elastic+minmax,cpu,2,image,1,0.002326,0.000845,0.020704,0.000936,0.0,0.024812
crop+affine+elastic+minmax,cpu,2,image-labels,1,0.002115,0.001445,0.010002,0.001946,0.0,0.015507
crop+affine+elastic+minmax,cpu,2,image-labels-points,1,0.002088,0.001369,0.904826,0.001911,0.0,0.910193
crop+affine+minmax,cpu,3,image,1,0.00187,0.154791,0.079727,1.697825,0.0,1.934214
crop+affine+minmax,cpu,3,image-labels,1,0.001937,0.194489,0.458148,4.737831,0.0,5.392405
crop+affine+minmax,cpu,3,image-labels-points,1,0.001949,0.274108,0.552266,4.552862,0.0,5.381185
crop+affine+elastic+minmax,cpu,3,image,1,0.002278,0.303537,8.63732,1.706137,0.0,10.649272
crop+affine+elastic+minmax,cpu,3,image-labels,1,0.002564,0.193437,8.621294,4.611045,0.0,13.42834
crop+affine+elastic+minmax,cpu,3,image-labels-points,1,0.002399,0.257909,8.580459,4.665754,0.0,13.506522
crop+affine+minmax,cuda,2,image,1,0.001616,0.024907,0.557627,0.127409,0.0,0.711558
crop+affine+minmax,cuda,2,image-labels,1,0.001694,0.000768,0.005535,0.024012,0.0,0.032009
crop+affine+minmax,cuda,2,image-labels-points,1,0.002039,0.000965,0.258487,0.00182,0.0,0.263311
crop+affine+elastic+minmax,cuda,2,image,1,0.002143,0.000818,0.22156,0.000876,0.0,0.225396
crop+affine+elastic+minmax,cuda,2,image-labels,1,0.002268,0.000771,0.009302,0.001824,0.0,0.014165
crop+affine+elastic+minmax,cuda,2,image-labels-points,1,0.002229,0.000937,0.163393,0.002251,0.0,0.16881
crop+affine+minmax,cuda,3,image,1,0.002042,0.216695,0.020937,0.005621,0.0,0.245296
crop+affine+minmax,cuda,3,image-labels,1,0.00193,0.197373,0.043486,0.114496,0.0,0.357285
crop+affine+minmax,cuda,3,image-labels-points,1,0.001939,0.13177,0.03185,0.066706,0.0,0.232266
crop+affine+elastic+minmax,cuda,3,image,1,0.002358,0.18538,0.599,0.005737,0.0,0.792474
crop+affine+elastic+minmax,cuda,3,image-labels,1,0.002346,0.140838,0.465865,0.102589,0.0,0.711639
crop+affine+elastic+minmax,cuda,3,image-labels-points,1,0.002382,0.218238,0.348483,0.065601,0.0,0.634705
